artista,total_musicas,popularidade_media
Lloyd Cole and the Commotions,6,24.5
Dr. Blesson Memana,6,24.5
Alvaro Diaz;Rauw Alejandro,6,24.5
Matthias Reim,26,24.5
Becky Hill;Topic,6,24.5
Pink Sweat$,33,24.5
Hot Rize,8,24.5
The Po' Ramblin' Boys,6,24.5
Tony Allen,6,24.5
The Lawrence Arms,11,24.4
Tony O'Connor,35,24.4
(Hed) P.E.,17,24.4
Duo Retama,8,24.4
The Acacia Strain,27,24.4
Gideon,11,24.4
Tatiana,20,24.4
Elis Regina,8,24.4
Yonder Mountain String Band,27,24.4
Veronica Maggio,12,24.3
"Original (German) Cast of ""Tanz Der Vampire""",20,24.3
Sloppy Seconds,6,24.3
Georges Bizet;Angela Gheorghiu;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,11,24.3
Billo's,18,24.3
Keyakizaka46,61,24.3
Asspera,56,24.3
Antonio Bribiesca,8,24.3
The 69 Eyes,6,24.3
The Ghastly Ones,7,24.3
Anabantha,17,24.3
Frozen Soul,6,24.3
Stuart Thompson,6,24.3
Dan Cummins,16,24.3
Wolfgang Amadeus Mozart;Mao Fujita,7,24.3
Anita Mui,7,24.3
Propellerheads,12,24.3
Lucas Cervetti,12,24.2
Sadhu Kochu Kunju Upadesi,9,24.2
Crazy Ken Band,19,24.2
Chixdiggit!,6,24.2
HELLYEAH,9,24.2
Unleash The Archers,13,24.2
The .357 STring Band,6,24.2
Oliver Wallace,16,24.2
Germaine Franco,106,24.2
Kayee Tam,6,24.2
Keller & The Keels,6,24.2
The Avett Brothers,29,24.2
The Travelin' McCourys,6,24.2
Nathan Kawanishi,23,24.1
The Jayhawks,14,24.1
Perfume,30,24.1
Psychostick,22,24.1
Front Line Assembly,7,24.1
Lörihen,7,24.1
Horcas,30,24.1
Jebroer,7,24.1
Tommy Ryman,7,24.1
Michael Brook;Nusrat Fateh Ali Khan,7,24.1
The Human League,9,24.0
Laura Osnes,8,24.0
In Hearts Wake,7,24.0
ノースリーブス,6,24.0
A.N.I.M.A.L.;Chuck Jhonson and Juan Jose Burgos;Richard Kaplan,9,24.0
PartyfrieX,10,24.0
Haggus,6,24.0
Rudimental;Jess Glynne;Macklemore;Dan Caplen,6,24.0
Aretha Franklin,6,24.0
J.D. Crowe & The New South,7,24.0
aswekeepsearching,16,24.0
Faithless,25,23.9
Mike Oldfield,18,23.9
Claire Rosinkranz,14,23.9
Doro,8,23.9
Jeff Foxworthy,16,23.9
The Poets Of Rhythm,7,23.9
Stanton Lanier,8,23.8
Kavya Ajit,6,23.8
Front 242,12,23.8
Tren Loco,12,23.8
De La Tierra,9,23.8
2 Brothers On The 4th Floor,21,23.8
Finntroll,14,23.8
Donbor,6,23.8
Liquid Mind,9,23.8
Luisito Ayala Y La Puerto Rican Power,6,23.7
THE MODS,6,23.7
The Delta Bombers,6,23.7
Teenage Bottlerocket,25,23.7
The Dollyrots,7,23.7
Hoodoo Gurus,32,23.7
Jody Chiang,13,23.7
Tokyo Girls' Style,6,23.7
Gunz For Hire,7,23.7
Los Crudos,12,23.7
Kuana Torres Kahele,6,23.7
A.M.C,7,23.7
Larry The Cable Guy,11,23.7
Mitch Fatel,6,23.7
Dean Evenson,7,23.6
Robert Haig Coxon,14,23.6
David Arkenstone,7,23.6
Dan Gibson's Solitudes,88,23.6
George Dalaras,10,23.6
Jesse Rice,16,23.6
White Reaper,10,23.6
For Today,15,23.6
Steve Rannazzisi,7,23.6
Rachel Feinstein,7,23.6
Josh Sneed,7,23.6
Joss Stone,7,23.6
Tony Rice Unit,7,23.6
Bersuit Vergarabat,16,23.6
Jackie Mittoo,13,23.6
João Gordo,10,23.5
CKY,15,23.5
Lordi,19,23.5
Mastifal,11,23.5
Dj Mad Dog,8,23.5
Scooter,130,23.5
Zapp,6,23.5
Jonas Blue;William Singe,6,23.5
Iliza Shlesinger,12,23.5
Muck Sticky,6,23.5
李龍基,6,23.5
Groovie Ghoulies,9,23.4
Direct Hit!,7,23.4
Llewellyn,7,23.4
Clannad,17,23.4
Area 11,12,23.4
Unresolved,8,23.4
Promo,7,23.4
Rygin King,18,23.4
Andy Thorn,9,23.4
Pickin' On Series,11,23.4
Flatt & Scruggs,13,23.4
Olivier Abeille,7,23.3
Coti,16,23.3
Yellowcard,6,23.3
Elvis Costello & The Attractions,26,23.3
Louis Armstrong,14,23.3
Akina Nakamori,24,23.3
OConnor,31,23.3
Dj Promo,19,23.3
Culture Shock,6,23.3
Bazzi,28,23.3
Mike Epps,6,23.3
3FORCE,6,23.3
Deicide,8,23.3
Metá Metá,12,23.3
The Civil Wars,13,23.3
Imelda May,18,23.2
The Lillingtons,10,23.2
Ad Dios,6,23.2
Plan 4,19,23.2
Patton Oswalt,25,23.2
Billy Gardell,6,23.2
Mike Birbiglia,23,23.2
Kathleen Madigan,57,23.2
HORSKH,6,23.2
Lea Salonga,9,23.1
The New Pornographers,8,23.1
voXXclub,14,23.1
Collabro,16,23.1
Paul Cardall,34,23.1
Kidsounds,10,23.1
Viikate,7,23.1
Ewa Konstancja Bułhak,9,23.1
The Ghost Inside,9,23.1
Matt Braunger,7,23.1
Jerry Garcia Band;Jerry Garcia,11,23.1
Mastodon,10,23.1
Faithless;Rollo Armstrong;Sister Bliss,11,23.0
Roberto Goyeneche;Orquesta Tipica Porteña,9,23.0
Roberto Goyeneche,24,23.0
Dimension Latina,10,23.0
音樂磁場,6,23.0
The Smithereens,7,23.0
Maharajan,15,23.0
Otep,9,23.0
Susumu Yokota,26,23.0
Barilari,15,23.0
Ransom,6,23.0
The Coffinshakers,7,23.0
Ugly Valley Boys,7,23.0
Lykke Li;The Magician,6,23.0
Traitors,9,23.0
Popcaan,17,23.0
Rodney Carrington,11,23.0
Doc Watson,7,23.0
Ryuji Imaichi,18,22.9
Hildur Guðnadóttir,8,22.9
Olavi Virta,8,22.8
Old 97's,9,22.8
Joe Jackson,14,22.8
Ministry,21,22.8
Helker,9,22.8
Nosferatu,9,22.8
Govana,9,22.8
Ralphie May,13,22.8
Robert Schimmel,12,22.8
Dark Funeral,6,22.8
Manu Dibango,9,22.8
Celtic Thunder,12,22.7
Aine Minogue,6,22.7
Spiritbox,12,22.7
Priest,6,22.7
Faron Young,23,22.7
The Gathering,19,22.7
Within The Ruins,6,22.7
Masicka,6,22.7
Tommy Lee Sparta,7,22.7
Julio Sosa;Armando Pontier y su Orquesta,7,22.6
Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,18,22.6
Ann Sweeten,7,22.6
The Mission,8,22.6
Jim Florentine;Don Jamieson,9,22.6
Big Jay Oakerson,14,22.6
Rob Zombie,39,22.6
Afrocidade,9,22.6
The Manges,10,22.5
Masked Intruder,14,22.5
Filippa Giordano,8,22.5
Blaqk Audio,6,22.5
Jayke Orvis,6,22.5
New Model Army,42,22.5
Talking Heads,6,22.5
Dan + Shay,27,22.5
The Cramps,11,22.5
Hayseed Dixie,6,22.5
Nickel Creek,26,22.5
Darkthrone,14,22.5
Samuca e a Selva,18,22.5
The Bombpops,9,22.4
De Doelleazen,8,22.4
Lacrimosa,10,22.4
Netsky,11,22.4
Christopher Titus,19,22.4
William Onyeabor,10,22.4
Pepe Aguirre,9,22.3
AKB48,46,22.3
DJ Snake;Justin Bieber,6,22.3
Doc Watson;David Grisman,7,22.3
Gruzja,7,22.3
Orquestra Brasileira de Música Jamaicana,7,22.3
2002,6,22.2
Gomer Edwin Evans,13,22.2
The Kiddie Katz,6,22.2
Seikima-II,21,22.2
Barilari;Jens Johansson;Emppu Vuorinen;Sami Vänskä;Jukka Nevalainen,6,22.2
Chamin Madero,11,22.2
Vybz Kartel,106,22.2
Glenn Wool,6,22.2
Jeff Allen,9,22.2
Ralph Stanley,12,22.2
Will Ackerman,15,22.1
ONMYO-ZA,7,22.1
Punch Brothers,14,22.1
Avhath,8,22.1
Lalo Rodriguez,6,22.0
Helen Jane Long,8,22.0
Hank Williams;Drifting Cowboys,104,22.0
Aonikenk,6,22.0
Sonny Lim,7,22.0
Kenny Burrell,6,22.0
Moodymann,31,22.0
Chronic Law,42,22.0
Bruce Bruce,6,22.0
Watain,7,22.0
Entombed,8,22.0
Roots Manuva,19,21.9
Alfredo De Angelis;Oscar Larroca,8,21.9
Jorge Falcón,12,21.9
Tita Merello,11,21.9
Flower,32,21.9
Ill Niño,9,21.9
Jubël,9,21.9
Kotiteollisuus,20,21.9
Paul Elstak,16,21.9
Alexandre Desplat,18,21.9
The Agonist,10,21.9
Alkaline,20,21.9
Beenie Man,23,21.9
Kranium,8,21.9
Andy Hendrickson,8,21.9
David Cross,9,21.9
HANA,14,21.9
Julio Sosa,45,21.8
Peter Kater,6,21.8
George Winston,37,21.8
Die Apokalyptischen Reiter,11,21.8
Dune,6,21.8
Jürgen Drews,12,21.8
Paradise Lost,6,21.8
Intence,8,21.8
Selena Gomez,10,21.8
Fluke,20,21.8
Old & In The Way,6,21.8
Steep Canyon Rangers,6,21.8
Railroad Earth,6,21.8
Juan D'Arienzo;Alberto Echagüe,11,21.7
Delete,6,21.7
Jon Sarta,31,21.7
William So,6,21.7
Hypocrisy,29,21.7
A.N.I.M.A.L.;Mario Altamirano and A.N.I.M.A.L.,7,21.6
Brujeria,10,21.6
Wyatt Cenac,8,21.6
Lonesome River Band,10,21.6
Roberto Goyeneche;Baffa-Berlingieri y su Orquesta,6,21.5
John Archambault and David Plummer,8,21.5
E-girls,6,21.5
Philosophy no Dance,11,21.5
Tarja,6,21.5
SHIKI THEATRE COMPANY,20,21.5
Amorphis,6,21.5
Jah Vinci,12,21.5
Mavado,28,21.5
Rhod Gilbert,6,21.5
Louis Katz,6,21.5
Eisregen,14,21.5
Jamie Miller,16,21.4
The Drifters,14,21.4
BiS,20,21.4
Skinny Puppy,7,21.4
Maya Kristalinskaya,6,21.3
Celtic Thunder;Keith Harkin,6,21.3
Psyko Punkz,8,21.3
Critical Mass,8,21.3
Fields Of The Nephilim,6,21.3
"Joey ""CoCo"" Diaz",6,21.3
Andrew Norelli,6,21.3
Winds of Plague,13,21.3
Jungle Fire,6,21.3
Julio Sosa;Leopoldo Federico y su Orquesta,26,21.2
Saleem,13,21.2
Last Idol,12,21.2
PASSEPIED,25,21.2
Momoiro Clover Z,52,21.2
NMB48,37,21.2
Shiritsu Ebisu Chugaku,84,21.2
Swedish House Mafia;John Martin,9,21.2
George Lopez,13,21.2
D.L. Hughley,6,21.2
Martin Lawrence,10,21.2
Tom Papa,21,21.2
Belle,6,21.2
Mandrill,9,21.2
Phil Coulter,7,21.1
Mike Rowland,8,21.1
Dempagumi.Inc,27,21.1
Skindred,13,21.1
Sirenia,9,21.1
Dan + Shay;Justin Bieber,10,21.1
Enslaved,10,21.1
Faith No More,7,21.1
Carlos Gardel,91,21.0
Mr. Vegas,6,21.0
David Spade,6,21.0
Todd Glass,7,21.0
Edmundo Rivero,11,20.9
Choo Choo Soul,9,20.9
HKT48,7,20.9
Sayaka Yamamoto,9,20.9
Billboard Baby Lullabies,16,20.9
George Bruns,13,20.9
WowKidz,35,20.9
Siouxsie and the Banshees,18,20.9
KT Tunstall,11,20.9
ZUTOMAYO,6,20.8
Takeova,8,20.8
Keeno,6,20.8
Ryan Sickler,6,20.8
Therion,18,20.8
Bacao Rhythm & Steel Band,9,20.8
La Misa Negra,6,20.8
Nicola Conte,7,20.7
Rhumba,6,20.7
Korsakoff,14,20.7
Soulfly,10,20.7
His Hero Is Gone,13,20.7
Astor Piazzolla,20,20.6
Diana Ross,7,20.6
Danny Chan,8,20.6
Toxic Holocaust,18,20.6
Sarcófago,9,20.6
Jor'dan Armstrong,19,20.6
Morbo y Mambo,7,20.6
Cibo Matto,8,20.5
Eddie Santiago,29,20.5
Jon Schmidt,6,20.5
Bounty Killer,13,20.5
Tim Toupet,11,20.5
Frankie Knuckles,11,20.5
Imperialist,8,20.5
Romperayo,6,20.5
Eladia Blazquez,7,20.4
Roberto Goyeneche;Atilio Stampone y su Orquesta Tipica,13,20.4
Malena Muyala,7,20.4
Jax,25,20.4
Andreas Gabalier,35,20.4
STU48,11,20.4
Daddy Yankee,34,20.4
Technikore,7,20.4
Galantis,7,20.4
DGHTR,12,20.3
hope mona,16,20.3
Ernest Tubb,25,20.3
Charly Lownoise & Mental Theo,17,20.3
Wilkinson,6,20.3
The Harp and the Piano,7,20.3
Kyle Edwards;DJ Smallz 732,7,20.3
Andy Hui,11,20.3
Aversions Crown,7,20.3
Newen Afrobeat,13,20.3
Damien Rice,6,20.2
Little Piano Player,9,20.2
Gary Gulman,11,20.2
Nina Simone,17,20.2
Truchło Strzygi,11,20.2
Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,8,20.1
Mia Julia,17,20.1
Logistics,9,20.1
Demi Lovato,8,20.1
Leon Lai,17,20.1
Ella Fitzgerald;Louis Armstrong,15,20.1
Matt Large,54,20.0
George Skaroulis,7,20.0
Sakurako Ohara,19,20.0
Portrayal of Guilt,7,20.0
De-Phazz,13,19.9
3 Steps Ahead,7,19.9
Kvelertak,13,19.9
Sexteto Mayor,6,19.8
Cattle Decapitation,23,19.8
Hans Zimmer;Richard Harvey,9,19.8
High Contrast,8,19.8
David Ogden Stiers;Chie Nagatani;Nina Flyer,6,19.8
Aaron Kwok,8,19.8
Sless Praismo,6,19.7
Ana Torroja,6,19.7
Shapeshifter,14,19.7
Dora The Explorer,53,19.7
Devil Master,10,19.7
KALEO,11,19.7
La Chicana,8,19.6
Michael Ball;Alfie Boe,11,19.6
David Healer,7,19.6
Moonspell,17,19.6
DJ Isaac,11,19.5
Alfredo De Angelis;Juan Carlos Godoy,7,19.4
Hugo Del Carril,7,19.4
SILENT SIREN,12,19.4
Wasuta,8,19.4
Tango Bardo,8,19.3
Alfredo De Angelis,6,19.3
Rexanthony,6,19.3
The Sleep Diaries,19,19.3
Elephant Man,14,19.3
Bucovina,10,19.3
Orgone,6,19.3
wavcrush,20,19.2
The Platters,22,19.2
Il Volo,36,19.2
Masters of Ceremony,6,19.2
Samael,25,19.2
Roberto Goyeneche;Orquesta Típica Porteña,7,19.1
Adriana Varela,32,19.1
Serph,7,19.1
Neophyte,13,19.1
Lucio Demare;Raúl Berón,6,19.0
Re-Style,6,19.0
Chaka Khan,7,19.0
Pink Sweat$;6LACK,6,19.0
Deekline;Specimen A,7,19.0
Sólstafir,9,19.0
LIK,12,19.0
Die Draufgänger,20,18.9
Owl City,11,18.9
Plaid,28,18.9
Cameron's Bedtime Classics,44,18.9
Audio Bullys,19,18.9
Orbital,39,18.9
Midnight,14,18.9
Sexteto Milonguero,6,18.8
Beat Oven,35,18.8
Sebastian Yatra,9,18.8
Marco Carola,12,18.8
Lusine,8,18.8
Hans Zimmer;Lisa Gerrard;Gavin Greenaway;The Lyndhurst Orchestra,11,18.8
Bladerunner,6,18.8
Lorenz Büffel,9,18.8
Avicii,25,18.8
Lorne Balfe,59,18.7
The Future Sound Of London,11,18.7
Drumsound & Bassline Smith,7,18.6
Månegarm,17,18.6
Juan D'Arienzo y su Orquesta Típica,6,18.5
Libertad Lamarque,8,18.5
Justnormal,59,18.5
Surfaces,15,18.5
Eddie Neblett,6,18.5
Carlos Lombardi;Los Românticos De La Noche,17,18.4
Camo & Krooked,7,18.4
Neon Trees,8,18.4
Orquesta Color Tango De Roberto Alvarez,7,18.3
DJ Ötzi,23,18.3
Don McLean,8,18.3
Teejay,8,18.3
Wolves In The Throne Room,12,18.3
Juan D'Arienzo,14,18.2
Sara Kays,17,18.2
Telefon Tel Aviv,9,18.2
Seekae,10,18.2
Yeah Yeah Yeahs;A-Trak,6,18.2
Smartface,19,18.1
Tha Playah,8,18.1
Khold,8,18.1
Erasure,6,18.0
Berlin Minimal,6,18.0
Manes,6,18.0
Old Man's Child,8,18.0
Bishop Briggs,11,18.0
Timothy Infinite,62,17.9
John Legend,23,17.9
Oscar D'León,15,17.9
Floyd Cramer,36,17.9
The Head And The Heart,7,17.9
Cybotron,7,17.9
Creedence Clearwater Revival,14,17.9
Bella Poarch,16,17.9
"Sarah, the Illstrumentalist",86,17.8
DJ Ruffneck;SPLT SCND,9,17.8
Windir,9,17.8
Julieta Laso,7,17.7
Ignacio Corsini,10,17.7
Aníbal Troilo,6,17.7
Julian Sommer,6,17.7
Murderdolls,7,17.7
Wednesday 13,9,17.7
Topic;A7S,9,17.7
Primordial,10,17.7
Tony Matterhorn,7,17.6
Marshmello;Bastille,11,17.6
Anaal Nathrakh,20,17.6
Evanescence,13,17.6
Hans Zimmer;Henning Lohner;Martin Tillman;Fiachra Trench,8,17.5
Carcass,35,17.5
Tiwa Savage,6,17.5
Marduk,8,17.5
Osvaldo Pugliese,17,17.4
Rufus Wainwright,7,17.4
Disfear,14,17.4
S.P.Y,7,17.4
Romántica Milonguera,10,17.3
Cupid,24,17.3
Yemi Alade,6,17.3
Dub Pistols,8,17.3
Inquisition,12,17.3
Kyson,31,17.3
Valentina Ponomaryova,6,17.2
James Hand,9,17.2
DJ Smallz 732;Kyle Edwards,6,17.2
DJ Fixx,10,17.2
White Zombie,13,17.2
Koo Koo Kanga Roo,67,17.1
Tritonal,9,17.1
Nu:Tone,7,17.1
Peter Wackel,15,17.1
FKA twigs;The Weeknd,9,17.1
Paul Anka;Odia Coates,6,17.0
Dither,16,17.0
Charlie Walker,8,17.0
Despise You,13,17.0
Montez,7,17.0
Tantrum Desire,7,17.0
Robert Owens,6,17.0
Deströyer 666,6,17.0
Solo Tango Orquesta,7,16.9
Jim Brickman,59,16.9
Kids Rock Kidz,7,16.9
Weekend Nachos,20,16.9
That Girl Lay Lay,13,16.8
Autechre,24,16.8
Lefty Frizzell,26,16.8
Galaxy 2 Galaxy,6,16.8
Antonio José,7,16.7
Bentley Rhythm Ace,6,16.7
Stanton Warriors,13,16.7
George Jones,260,16.6
Girl Pusher,10,16.6
Fitz and The Tantrums,8,16.6
LFO,16,16.5
Ray Price,63,16.4
Kidz Bop Kids,54,16.4
Hybrid,19,16.4
Frankie Valli & The Four Seasons,8,16.3
Arovane,6,16.3
Man Is The Bastard,7,16.3
Lenzman,7,16.3
Pola & Bryson,8,16.3
Ricardo Tanturi;Enrique Campos,6,16.2
Autopsy,10,16.2
Rick James,9,16.1
Eddie Noack,13,16.0
Webb Pierce,11,16.0
Wormrot,6,16.0
Celia Cruz,8,15.9
Two Lone Swordsmen,13,15.9
Hatred Surge,9,15.9
Donna Summer,12,15.9
Roni Size;Reprazent,11,15.9
Valery Obodzinsky,10,15.8
Babyboomboom,26,15.8
Full Of Hell,25,15.8
AFI,9,15.8
MIKTEK,9,15.7
Carl Smith,15,15.7
Taproot,6,15.7
Andrew Gold,21,15.6
Tobee,14,15.5
Daniela Rathana,7,15.4
The Dirt Drifters,8,15.4
Insult,9,15.4
Cripple Bastards,7,15.4
Juan Atkins;Moritz Von Oswald,9,15.4
GAYLE,33,15.4
Feid,45,15.3
alva noto;Ryuichi Sakamoto,17,15.3
George Jones;Tammy Wynette,36,15.3
Capitalist Casualties,9,15.3
Plastikman;Richie Hawtin,21,15.3
Tinariwen,11,15.3
Los Bunkers,6,15.3
Tito Nieves,16,15.2
Desmond Dennis,35,15.2
Casino Versus Japan,30,15.2
Mortician,36,15.2
Carly Rae Jepsen,10,15.2
Roni Size,10,15.2
Bogdan Raczynski,20,15.1
Vermin Womb,8,15.1
Larry Heard,23,15.1
Cafuné,11,15.0
Shaver;Billy Joe Shaver,7,15.0
Aborted,8,15.0
Magrudergrind,11,15.0
Deterioration,11,15.0
Fluoride,6,15.0
Aromal Chekaver,7,14.9
Secret Agent 23 Skidoo,8,14.9
Fernando Corona,9,14.9
Stonewall Jackson,19,14.9
Nockis,7,14.9
Little Apple Band,18,14.8
Archagathus,11,14.8
Manger Cadavre?,13,14.8
Impetigo,19,14.8
The Red Chord,16,14.8
Mark Farina,20,14.8
Andy Montañez,11,14.7
Vladimir Troshin,10,14.7
Nelly Furtado,11,14.7
Ernest Tubb;Loretta Lynn,6,14.7
Pete Bernhard,23,14.7
Trap Them,21,14.7
Freestylers,27,14.7
Jack Hartmann,44,14.6
Luke Abbott,8,14.6
Sore Throat,6,14.5
Mr. Fingers,42,14.5
Datassette,14,14.4
Flesh Parade,7,14.4
Iron Lung,14,14.4
Sex Prisoner,23,14.4
Napalm Death,87,14.4
Rei Harakami,27,14.3
Gorerotted,6,14.3
Exhumed,15,14.3
Couple Skate,12,14.3
Soilent Green,12,14.3
Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,18,14.3
Felix Da Housecat,26,14.3
Sonu Nigam,12,14.2
Brings,39,14.2
Memphis May Fire,6,14.2
Jhayco;J Balvin;Bad Bunny,6,14.2
Stumbleine,11,14.2
Terrorizer,13,14.2
Killermichel,6,14.2
The Tony Danza Tapdance Extravaganza,14,14.1
Micha von der Rampe,14,14.0
Anal Cunt,12,14.0
No/Más,11,14.0
DJ Baby Anne,9,14.0
Miss Melodee,7,13.9
Hip Hop Harry,11,13.9
Mouse On Mars,10,13.9
Agoraphobic Nosebleed,9,13.9
Milking the Goatmachine,11,13.9
Internal Rot,14,13.9
disrupt,32,13.9
Sofía Reyes;Jason Derulo;De La Ghetto,11,13.9
Kenny Rogers,10,13.9
Luke Vibert,26,13.8
Wisin & Yandel;Chris Brown;T-Pain,6,13.8
Ralphi Rosario,15,13.8
Elena Kamburova,18,13.7
Big Mucci,7,13.7
Railbenders,15,13.7
Fuck On the Beach,6,13.7
Miasmatic Necrosis,13,13.7
Idina Menzel,17,13.6
Winifred Atwell,7,13.6
Pig Destroyer,31,13.6
Bryan Adams,55,13.5
salem ilese,32,13.5
Hank Williams,136,13.5
P.L.F.,6,13.5
Tiësto;Ava Max,11,13.5
Wolfgang Amadeus Mozart;Heinz Holliger;Hermann Baumann;Michel Gasciarrino;Henk Guldemond;Orlando Quartet,6,13.5
Ed Solo;Deekline,17,13.5
Grey Skye Evans,8,13.4
Discordance Axis,16,13.4
Jay Daniel,8,13.4
Joe Smooth,11,13.4
Deekline,7,13.4
Basho & Friends,10,13.3
KD Da Kid,12,13.3
Joel Corry;MNEK,6,13.3
The Breakfastaz,7,13.3
Plump DJs,12,13.3
Aphrodite,8,13.3
Ceephax Acid Crew,17,13.2
Ochre,26,13.2
Ty Dolla $ign;Post Malone,6,13.2
Luke Bryan,6,13.2
Phuture,13,13.2
DJ Icey,13,13.2
Yasser Desai,8,13.1
Die jungen Zillertaler,9,13.1
J Balvin;Bad Bunny,14,13.1
Melorman,16,13.1
Frankie Ruiz,22,13.0
Pj Panda,23,13.0
Phobia,6,13.0
Extreme Noise Terror,9,13.0
That Girl Lay Lay;Tha Slay Gang,10,12.9
The Walters,7,12.9
Amb,7,12.9
Anitta,13,12.8
Bebe Rexha,6,12.7
Alinka,6,12.7
Andrés Calamaro,7,12.7
Zoé,7,12.7
Christopher Zondaflex Tyler,34,12.6
The Jamborees,18,12.6
Mokhov,18,12.6
George Jones;The Jordanaires,7,12.6
Larry Heard;Loosefingers,7,12.6
Mike Dunn,16,12.6
Höhner,42,12.5
Laurent Garnier,6,12.5
Last Days Of Humanity,15,12.5
Inner City,56,12.4
Frankie Goes To Hollywood,11,12.3
The Beach Boys,104,12.3
Rik Gaynor,19,12.3
Kettel,11,12.3
Top of the Bus,13,12.2
Antigama,11,12.2
Cliff Richard,8,12.1
Lola Indigo;Maria Becerra,7,12.1
The Rare Occasions,7,12.1
Regurgitate,7,12.1
Mickie Krause,43,12.1
Paul Johnson,48,12.1
Chuck Berry,54,12.1
The Black Dog,13,12.0
Plone,7,12.0
Ivan Rebroff,40,11.9
J Balvin;Maria Becerra,14,11.9
Mini Pop Kids,56,11.9
alva noto,14,11.9
Ilkae,12,11.9
Bola,7,11.9
Daddy Yankee;Bad Bunny,16,11.9
Nasum,15,11.9
Boston Soundlabs,6,11.8
Pj Panda;ML3V LLC,12,11.8
B12,8,11.8
Proem,6,11.8
Mrs Mills,8,11.8
Drexciya,53,11.8
22Gz,6,11.7
Mark D. Pencil,12,11.7
Polish Club,11,11.7
Krafty Kuts,7,11.7
Have Fun Teaching,15,11.6
Gadget,7,11.6
Colombo,13,11.6
Catie Turner,11,11.5
The Police,8,11.5
arai tasuku,37,11.5
Burna Boy;Wizkid,6,11.5
Tony Vega,13,11.4
Wolfgang Amadeus Mozart;Danielle Laval,73,11.4
Mr. Lee,7,11.4
Nature Sounds,35,11.3
Moonbootica,6,11.3
Calibre,8,11.3
Blake Rules;Netherfriends,52,11.2
Kelpe,12,11.2
GAYLE;The Wild,6,11.2
J Balvin,28,11.1
Surf Mesa;Emilee,7,11.1
Scan 7,8,11.1
Lomoplay,6,11.0
J Balvin;Bad Bunny;Marciano Cantero,9,11.0
Still Woozy,7,11.0
Monolake,7,11.0
Ivan Rebroff;Balalaika-Ensemble Troika,9,10.9
Ali Farka Touré;Toumani Diabaté,8,10.9
Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,9,10.8
Fast Eddie,21,10.8
Oingo Boingo,18,10.7
Porya Hatami,19,10.7
Cybass,6,10.7
Juan Atkins,9,10.7
Carl Craig,27,10.7
Ocoeur,17,10.6
Jeff Mills,27,10.6
Mark Farina;Homero Espinosa,10,10.6
Igor Talkov,26,10.5
Derrick May,13,10.5
Seth Troxler,13,10.5
Terrence Parker,32,10.4
Jason Derulo,16,10.4
Helen Sjöholm,7,10.3
Blake Baxter,8,10.3
Robin Schulz;Tom Walker,7,10.3
Fingers Inc.,8,10.3
Ten City,36,10.3
Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,17,10.2
KAROL G;Mariah Angeliq,8,10.1
K-Hand,15,10.1
Little Big Town,7,10.1
Poop Emoji,23,10.0
Jovonn,12,10.0
Robert Hood,54,10.0
ONYVAA,11,9.9
Glenn Underground,37,9.9
Omar S,53,9.8
"Farley ""Jackmaster"" Funk",10,9.8
Nessa Barrett,23,9.7
Wolfgang Amadeus Mozart;Erik Smith,6,9.7
Kenny Larkin,19,9.7
Roy Davis Jr.,15,9.7
The Cardigans,8,9.6
Rashid Beibutov,27,9.6
Styx,7,9.6
Apache Indian,21,9.6
James Hype;Miggy Dela Rosa,10,9.6
Ava Max,35,9.6
Pal Joey,17,9.5
Cooltime Kids,43,9.4
Four Tops,8,9.4
Theo Parrish,39,9.4
Alessia Cara,38,9.4
Alphaxone;Onasander;protoU,8,9.3
Skurken,8,9.3
Tineidae,12,9.3
Foy Vance,6,9.3
Anenon,10,9.2
Tom Petty,9,9.2
Project AER;v i v,19,9.2
KAROL G;Maldy,14,9.1
Underground Resistance,21,9.1
Coldplay,12,9.0
Carrie Underwood,9,9.0
Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,26,9.0
Alphaxone,78,8.9
Delano Smith,16,8.9
Alphaxone;Dronny Darko,8,8.8
Maisie Peters,16,8.8
Jack Harlow;Drake,9,8.8
ILLENIUM;Teddy Swims,8,8.8
Armando,17,8.8
Ron Trent,29,8.8
Psyche/BFC,7,8.7
LOVA,7,8.6
Justin Quiles;Robin Schulz,9,8.6
Tiësto;Charli XCX,18,8.6
James Blunt,10,8.5
Alphaxone;protoU,11,8.5
J.M. Silk,6,8.5
The Prophet,78,8.4
Oliver Tree,13,8.4
Smash Mouth,10,8.4
Alphaxone;XERXES THE DARK,9,8.3
Christina Perri,10,8.3
Royal & the Serpent,9,8.3
Octave One,27,8.2
Kevin Saunderson;e-Dancer,11,8.1
Model 500,22,8.1
DJ Sneak,10,8.1
Romanthony,7,8.1
Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,8,8.1
KAROL G,35,8.0
Jomanda,7,8.0
Ina Colada,7,7.9
Aaron Carl,10,7.9
Omah Lay;Justin Bieber,17,7.9
George Strait,9,7.9
